,Example Id,Prefix,Output,Training Text,Matching Token Count,Matching Output,Matching Reference,Prefix Length,model
54,54,Bishop Creek is a stream in the U.,"Bishop Creek is a stream in the U.S. state of Washington. The creek is a tributary of the U.S. Route 1, which connects the U.S. Route 1 and the U.S. Route 2. The creek is a tributary of the U.S. Route 1, which connects the U.S. Route 1 and the U.S. Route 2. The creek is a tributary of the U.S. Route 1, which connects the","Bishop Creek is a stream in the U.S. state of Oregon. It is a tributary to Forest Creek.

Bishop Creek was named after James Bishop, a pioneer citizen.

References

Category:Rivers of Oregon
Category:Rivers of Jackson County, Oregon",4,Bishop Creek is a stream in the U.S. state of,Bishop Creek is a stream in the U.S. state of,10,1.4b
55,55,"Haleākala, later renamed Aik","Haleākala, later renamed Aikalu, is a village in the Kali Yuga district of the Indian state of West Bengal.

References

Category:Villages in Kali Yuga district
Category:Villages in West Bengal
Category:Villages in Kali Yuga district
Category:Villages in West Bengal
Category:Villages in West Bengal
Category:Villages in West Bengal
Category:Villages in Kali Yuga district","Haleākala, later renamed Aikupika, and then the Arlington Hotel, was a historic structure in Honolulu, Hawaii which was the home of various prominent Hawaiians, and later became a hotel, and the initial headquarters of the American military forces involved in the overthrow of the Kingdom of Hawaii.

The two-story pink coral house was built in Honolulu, on King Street, around the 1850s by Hawaiian high chief Pākī, who initially lived there with his wife Kōnia and their hānai daughter, Lydia Pākī, the natural daughter of Keohokalole and Kapaakea. The house was called Haleākala, sometimes translated as House of the Sun (Haleakalā), but probably meant Pink House after the coral rock from which the house was constructed. Pākī built the house himself, replacing the original grass hut complex of the same name at the same site, financed by the sale of Mākaha Valley. It would later become one of the primary residences of his daughter Bernice Pauahi Bishop, and her husband, Charles Reed Bishop. Duke Kahanamoku was also born in Haleʻākala while Bishop lived there. The house was later called Aikupika (Egypt). Later still, it became the Arlington Hotel.

At the time of the overthrow of the Hawaiian monarchy in January 1893, United States Navy Lieutenant Lucien Young commanded a detachment from the USS Boston which mustered at ""Camp Boston"", initially established at the Arlington Hotel. The building was purchased at auction in 1900 and demolished to make way for a more modern housing development.

References

Category:Houses in Honolulu County, Hawaii
Category:1850s architecture
Category:1850s establishments in Hawaii",0,"Haleākala, later renamed Aik","Haleākala, later renamed Aik",10,1.4b
56,56,"Yengi Esperan (, also Romanized","Yengi Esperan (, also Romanized as Esperan) is a village in the Esperan District of the Central District of the Central District of the Central District of the Central District of the Central District of the Central District of the Central District of the Central District of the Central District of the Central District of the Central District of the Central District of the Central District of the Central District of the Central District of the Central District of the Central District of the Central District of the Central District","Yengi Esperan (, also Romanized as Yengī Esperān and Yengī Asparān; also known as Angilspirān, Isbiran, Safīdān-e Jadīd, Sefīdān-e Jadīd, Sefīdān Jadīd, Yengī Esberān, Yengi Esīrān, and Yengi-Isperan) is a village in Esperan Rural District, in the Central District of Tabriz County, East Azerbaijan Province, Iran. At the 2006 census, its population was 3,012, in 735 families.

References 

Category:Populated places in Tabriz County",1,"Yengi Esperan (, also Romanized as","Yengi Esperan (, also Romanized as",10,1.4b
57,57,Andrea Bakula (born 15 August 1981 in,"Andrea Bakula (born 15 August 1981 in Baden-Baden, Germany) is a German-born American actress. She is best known for her role in the TV series The Great Gatsby.

Career

Early life and education
Bakula was born in Baden-Baden, Germany. She attended the University of Baden-Baden, Germany. She graduated from the University of Baden-Baden in 1989. She then attended the University of","Andrea Bakula (born 15 August 1981 in Zagreb) is a Croatian table tennis player.

She competed at the 2008 Summer Olympics, reaching the first round of the singles competition. She also competed in the team competition.

She was born in Zagreb, and resides there.

References

External links
 
 

Category:1981 births
Category:Living people
Category:Croatian female table tennis players
Category:Table tennis players at the 2000 Summer Olympics
Category:Table tennis players at the 2008 Summer Olympics
Category:Olympic table tennis players of Croatia",0,Andrea Bakula (born 15 August 1981 in,Andrea Bakula (born 15 August 1981 in,10,1.4b
58,58,Elsie Island is a northern Canadian island in,"Elsie Island is a northern Canadian island in the Canadian Arctic. The island is home to the largest and most important natural resource in the world, the Arctic Circle. The Arctic Circle is home to the largest and most important natural resource in the world, the Arctic Circle. The Arctic Circle is home to the largest and most important natural resource in the world, the Arctic Circle. The Arctic Circle is home to the largest and most important natural resource in the world, the Arctic Circle. The Arctic Circle","Elsie Island is a northern Canadian island in eastern Hudson Bay. While situated  off the western coast of Quebec's Ungava Peninsula, it is a part of Qikiqtaaluk Region in the territory of Nunavut.

References

Category:Islands of Hudson Bay
Category:Islands of the Canadian Arctic Archipelago
Category:Uninhabited islands of Qikiqtaaluk Region
Category:Islands of Qikiqtaaluk Region",0,Elsie Island is a northern Canadian island in,Elsie Island is a northern Canadian island in,10,1.4b
59,59,"Clearwater Airport may refer to:

 Clearwater","Clearwater Airport may refer to:

 Clearwater, California, United States, a city in the United States, a city in the United States, a city in the United States, a city in the United States, a city in the United States, a city in the United States, a city in the United States, a city in the United States, a city in the United States, a city in the United States, a city in the United States, a city in the United States,","Clearwater Airport may refer to:

 Clearwater Airport (Alaska) in Clearwater, Alaska, United States (FAA: Z86)
 Clearwater Aerodrome in Clearwater, New Brunswick, Canada (TC: CDJ4)
 Clearwater Airpark in Clearwater, Florida, United States (FAA: CLW)
 St. Petersburg-Clearwater International Airport serving St. Petersburg/Clearwater, Florida, United States (FAA: PIE)

id:Bandar Udara Clearwater
pms:Clearwater Airport",0,"Clearwater Airport may refer to:

 Clearwater","Clearwater Airport may refer to:

 Clearwater",10,1.4b
60,60,InMoment™ is a customer feedback management company,"InMoment™ is a customer feedback management company that provides customer feedback and customer feedback to their customers.

The company is also known for its customer service and customer service team. The company has a strong customer service team that is able to provide customer feedback and customer feedback to their customers. The company also has a strong customer service team that is able to provide customer feedback and customer feedback to their customers. The company also has a strong customer service team that is able to provide customer feedback and customer","InMoment™ is a customer feedback management company, specializing in experience intelligence (XI), headquartered in SLC, UT. The company’s cloud-native XI Platform is engineered with data science, and designed to harness intelligence. The platform features three clouds: Customer Experience (CX) Cloud, Employee Experience (EX) Cloud, and Market Experience (MX) Cloud.

InMoment’s approach of providing strategic technical, best practice, and thought leadership support ensures that 500 brands across 95 countries realize maximum business impact.

History
InMoment was founded in 2002 by John Sperry, Kurt Williams, and Richard Hanks under the name Mindshare Technologies. The company focused on development of technology that allowed clients to automate and analyze their customer service workflow.

In 2011, Mindshare Technologies received a $20 million investment from Sorenson Capital.

In September 2013, Mindshare Technologies acquired Empathica for an undisclosed amount..

In June 2014, the company underwent a rebrand to represent this new chapter and changed its name to InMoment.

In 2017, InMoment was recognized in the top tier of Forrester’s assessment of customer feedback management platforms, “The Forrester Wave™: Customer Feedback Management Platforms, Q2 2017.”  The company was recognized as a leader in current offering and top ranked in strategy by the independent research firm.

In 2018, InMoment was named a Leader and given highest score possible in Product Vision and Strategy by independent research firm, Forrester, in a new report: The Forrester Wave™ Customer Feedback Management Platforms (CFM ), Q4 2018.

In 2019 InMoment received a strategic growth investment from funds advised by Madison Dearborn Partners, LLC (“MDP”), a leading private equity firm based in Chicago. MDP acquired a majority ownership position in InMoment from existing shareholders.

Currently, InMoment has over 300 employees and offices in 6 countries, including the United States, ",0,InMoment™ is a customer feedback management company,InMoment™ is a customer feedback management company,10,1.4b
61,61,Bud Church () is a parish church of the Church,"Bud Church () is a parish church of the Church of the Holy Sepulchre, in the parish of the Church of the Holy Sepulchre, in the parish of the Church of the Holy Sepulchre, in the parish of the Church of the Holy Sepulchre, in the parish of the Church of the Holy Sepulchre, in the parish of the Church of the Holy Sepulchre, in the parish of the Church of the Holy Sepulch","Bud Church () is a parish church of the Church of Norway in Hustadvika Municipality in Møre og Romsdal county, Norway. It is located in the village of Bud on the northwestern shore of the Romsdal peninsula. It is the church for the Bud parish which is part of the Molde domprosti (arch-deanery) in the Diocese of Møre. The white, wooden church was built in a cruciform style in 1717 by an unknown architect. The church has a unique onion-style dome and spire on top. The church seats about 250 people.

History
The earliest existing historical records of the church date back to 1589, but it was built before that time. That building was partially demolished in 1648 and then expanded to the north and south. It burned down as a result of lightning strikes in 1709. The present white wooden church was built in 1717 and was consecrated by the Bishop of the Diocese of Nidaros, Peder Krog. The 1717 church was built a little to the northeast of the site of the old church.

Media gallery

See also
List of churches in Møre

References

External links
Bud Kyrkje website

Category:Hustadvika
Category:Churches in Møre og Romsdal
Category:Wooden churches in Norway
Category:18th-century Church of Norway church buildings
Category:Churches completed in 1717
Category:16th-century establishments in Norway",1,Bud Church () is a parish church of the Church of,Bud Church () is a parish church of the Church of,10,1.4b
62,62,The women's 200 metre individual medley competition,"The women's 200 metre individual medley competition.

The women's 200 metre individual medley competition was held in the village of Keswick, in the village of Keswick, in the village of Keswick, in the village of Keswick, in the village of Keswick, in the village of Keswick, in the village of Keswick, in the village of Keswick, in the village of Keswick, in the village","The women's 200 metre individual medley competition of the swimming events at the 1971 Pan American Games took place on 6 August.  The last Pan American Games champion was Claudia Kolb of US.

This race consisted of four lengths of the pool, one each in backstroke, breaststroke, butterfly and freestyle swimming.

Results
All times are in minutes and seconds.

Heats

Final 
The final was held on August 6.

References

Category:Swimming at the 1971 Pan American Games
Pan",0,The women's 200 metre individual medley competition,The women's 200 metre individual medley competition,10,1.4b
63,63,Polícia Federal: A Lei É para,Polícia Federal: A Lei É para a Ciência e a Polícia Federal: A Lei É para a Ciência e a Polícia Federal: A Lei É para a Ciência e a Polícia Federal: A Lei É para a Ciência e a Polícia Federal: A Lei É para a Ciência e a Polícia Federal: A Lei É para a Ciência e a Polícia Federal: A Lei É para,"Polícia Federal: A Lei É para Todos (Federal Police: The Law Is for Everyone) is a Brazilian thriller movie of 2017. It was directed by Marcelo Antunez, produced by Tomislav Blazic and scripted by Thomas Stavros and Gustavo Lipsztein. It was inspired by the book of the same name by Carlos Graieb and Ana Maria Santos. Starring Antônio Calloni, portrays Operation Lava Jato from the point of view of the police investigators who acted in it. According to producer Tomislav Blazic, the plot will be divided into three films, which should be released each year, and the film is not a documentary and therefore, despite being based on the Lava Jato, has no obligation to be faithful to the reality.

Costing 16 million reais, the film did not have the sponsors revealed, and did not use public resources. The names of the investors, about 25, were kept confidential, according to Blazic, at the request of the entrepreneurs, who made the disbursements as individuals. ""They asked, I have to respect. Many films were made like this in Brazil and abroad."" The film featured a cooperation agreement signed between Blazic and the Federal Police in 2015. The film had its premiere on August 28 for guests in Curitiba, among them judges Sérgio Moro, Marcelo Bretas and prosecutor Deltan Dallagnol, as well as delegates, police and justice officials, and premiered in Brazilian theaters at Independence Day holiday, September 7.

In the first week, it attracted 461,783 to the theaters, about 430,000 from Thursday to Sunday, and another 30,000 in the premieres, with revenues of 7.8 million reais, being the second most watched movie behind the US movie It. It had the best debut of the year among national films. As of September 25, the number of people who went to the cinema to watch the movie surpassed one million, and by the end of the first day of October became the most viewed national movie of 2017 until then.

Production
Producer Tomislav Blazic was working on",0,Polícia Federal: A Lei É para,Polícia Federal: A Lei É para,10,1.4b
64,64,The Apennine culture is a technology complex in,The Apennine culture is a technology complex in which the human body is made of a complex mixture of organic and inorganic materials. The human body is made of a complex mixture of organic and inorganic materials. The organic materials are used in the manufacture of the products. The inorganic materials are used in the manufacture of the products. The inorganic materials are used in the manufacture of the products. The inorganic materials are used in the manufacture of the products. The inorganic materials are used in the manufacture of the products,"The Apennine culture is a technology complex in central and southern Italy  from the Italian Middle Bronze Age (15th-14th centuries BC). In the mid-20th century the Apennine was divided into Proto-, Early, Middle and Late , but now archaeologists prefer to consider as ""Apennine"" only the ornamental pottery style of the later phase of Middle Bronze Age (BM3). This phase is preceded by the Grotta Nuova facies (central Italy) and by the Protoapennine B facies (southern Italy) and succeeded by the Subappennine facies of 13th-century (""Bronzo Recente""). Apennine pottery is a burnished ware incised with spirals, meanders and geometrical zones, filled with dots or transverse dashes. It has been found on Ischia island in association with LHII and LHIII pottery and on Lipari in association with LHIIIA pottery, which associations date it to the Late Bronze Age as it is defined in Greece and the Aegean.

Society

The people of the Apennine culture were alpine cattle herdsmen grazing their animals over the meadows and groves of mountainous central Italy. They lived in small hamlets located in defensible places. On the move between summer pastures they built temporary camps or lived in caves and rock shelters. Their range was not necessarily confined to the hills; their pottery has been found on the Capitoline hill at Rome as well as on the islands mentioned above.

Imputations of ethnicity
In the 19th and early 20th centuries various theorists made various imputations of ethnicity concerning the Apennine culture. In the 20th century, the Italian scholar, Massimo Pallottino, who specialized in Etruscan civilization, rejected them as oversimple. At least with reference to Italy, he discarded Kossinna's Law, which states languages and ethnic groups are to be identified with archaeological groups. Therefore, Pallottino argued that terms such as ""the Terramare culture"" or ""the Apennine culture"" have no ethnic or linguistic significance.

The Apennine drew to an end",0,The Apennine culture is a technology complex in,The Apennine culture is a technology complex in,10,1.4b
65,65,is a ward of Sapporo composed of residential,"is a ward of Sapporo composed of residential houses, and the houses of the residents of the town. The houses of the residents of the town are located in the town centre. The houses of the residents of the town are located in the town centre. The houses of the residents of the town are located in the town centre. The houses of the residents of the town are located in the town centre. The houses of the residents of the town are located in the town centre. The houses of","is a ward of Sapporo composed of residential neighborhoods mostly arranged in grid patterns, and each built surrounding a train station, broken up by areas of farmland and some light-industrial areas. With 260,000 people, it is the most populated ward in Sapporo.

Geography
Kita-ku is located in the northern part of Sapporo. The southern end of the word is more built up, essentially a continuation of the adjoining Chūō-ku (""central ward,"" downtown Sapporo). Ishikari River runs through and borders the northern part of Kita-ku.

Kita-ku is subject to a colder, windier climate than the rest of Sapporo, and as one rides the JR line through towards Ainosato (the north-easternmost part of Sapporo) in winter, one can watch the intensity of the snows increase.

Education

University

National
 Hokkaido University
 Hokkaido University of Education

Private
 Fuji Women's University
 Health Sciences University of Hokkaido, Sapporo Ainosato Campus

College
 Hokkaido Musashi Women's Junior College

High schools

Public
 Hokkaido Sapporo Kita High School
 Hokkaido Sapporo Hokuryo High School
 Hokkaido Sapporo Eiai High School
 Hokkaido Sapporo Technical High School
 Hokkaido Sapporo Intercultural and Technological High School
 Hokkaido Yuho High School
 Hokkaido Sapporo Shinkawa High School (city)

Private
 Sapporo Sosei High School
 Fuji High School

Transportation

Rail
 JR Hokkaido
 Hakodate Main Line: Sapporo Station
 Sasshō Line: Shinkawa - Shin-Kotoni - Taihei - Yurigahara - Shinoro - Takuhoku - Ainosato-Kyōikudai - Ainosato-kōen
 Sapporo Municipal Subway
 Namboku Line: Asabu - Kita-Sanjūyo-Jō - Kita-Nijūyo-Jō - Kita-Jūhachi-Jo - Kita-Jūni-Jō

Road
 Sasson Expressway: Sapporo-Kita IC - Shinkawa IC
 Route 5

References

External links
 Kita-ku word office 

*
Category:Wards of Sapporo",0,is a ward of Sapporo composed of residential,is a ward of Sapporo composed of residential,10,1.4b
66,66,Cataracts Provincial Park is located in Colinet,"Cataracts Provincial Park is located in Colinete, British Columbia. The park is located in the Canadian Rockies, and is a popular destination for the Canadian Rockies. The park is also home to the Canadian Rockies National Park, which is home to the Canadian Rockies National Park.

History
The park was established in 1869 by the British Columbia government. The park was named after the Canadian Rockies, and was named after the Canadian Rockies. The park was named","Cataracts Provincial Park is located in Colinet, Newfoundland and Labrador, on the Avalon Peninsula southeast of Placentia. The park consists of a deep river gorge with two cascading waterfalls. There are stairs and walkways that allow visitors to descend the gorge and cross the river. Thirty five known mosses and liverworts in Newfoundland have been identified in this park. There are picnic sites and outhouse facilities available for visitor use.

Cataracts is intended for day use only; overnight camping is not permitted.

References

External links 
 http://www.newfoundlandlabrador.com/PlanYourTrip/Detail/10539007

Category:Provincial parks of Newfoundland and Labrador",0,Cataracts Provincial Park is located in Colinet,Cataracts Provincial Park is located in Colinet,10,1.4b
67,67,The Parbhani Municipal Corporation is D grade Municipal,"The Parbhani Municipal Corporation is D grade Municipal Corporation, which is a subsidiary of the Parbhani Municipal Corporation.

The Parbhani Municipal Corporation is a subsidiary of the Parbhani Municipal Corporation.

The Parbhani Municipal Corporation is a subsidiary of the Parbhani Municipal Corporation.

The Parbhani Municipal Corporation is a subsidiary of the Parbhani Municipal Corporation.

The Parbhani Municipal Corporation is a subsidiary of the Parbhani Municipal Corporation.","The Parbhani Municipal Corporation is D grade Municipal Corporation of Maharashtra, the governing body of the city of Parbhani, situated beside the Collector Office, and District Court. The municipal corporation consists of democratically elected members, is headed by a mayor and administers the city's infrastructure, public services and supplies. Members from the state's leading various political parties hold elected offices in the corporation.

In 2011 Maharashtra State cabinet decided to elevate Parbhani along with Latur and Chandrapur to municipal corporation as city crossed mark of 3,00,000 population in 2011 census. First election for the Municipal Corporation was conducted in 2012, after the predecessor City Council's term ended.

Corporation Election 2012 
Pratap Bhaskarrao Deshmukh of the Nationalist Congress Party became the first mayor of Parbhani Municipal Corporation while Syed Khaled Syed Sahebjan alias Sajju Lala of Nationalist Congress Party was the first deputy mayor.

Political performance in Election 2012
The results of the Election 2012 are as follows.

Corporation Election 2017 
The second election took place on 19 April and result came out on 21 April.

Congress candidates won in 31 wards out of the 65 wards of Parbhani Municipal Corporation. NCP came at second position, winning 18 wards, while the BJP could bag 8 seats. Shiv Sena won 6 seats and independent 2.

Anita Sonkamble of Indian National Congress and Bhagwan Waghmare of Indian National Congress were elected as mayor and deputy mayor of corporation respectively on 22 November, 2019.

References 

Category:Parbhani
Category:Municipal corporations in Maharashtra",1,The Parbhani Municipal Corporation is D grade Municipal Corporation,The Parbhani Municipal Corporation is D grade Municipal Corporation,10,1.4b
68,68,Doke Schmidt (born 7 April 1992) is,"Doke Schmidt (born 7 April 1992) is a German footballer who plays as a forward for FC Doke.

Career

Club

Doke Schmidt was born in Doke, Germany. He made his debut for FC Doke in the summer of 1996, and made his debut for FC Doke in the summer of 1997. He made his debut for FC Doke in the summer of 1998, and made his debut for FC Doke in the summer of 1999. He made","Doke Schmidt (born 7 April 1992) is a Dutch footballer who plays as a right back for SC Cambuur in the Eerste Divisie. He formerly played one season on loan for Go Ahead Eagles.

References

External links
 
 Voetbal International profile 
 

Category:1992 births
Category:Living people
Category:People from Heerenveen
Category:Dutch footballers
Category:Association football defenders
Category:Eredivisie players
Category:Eerste Divisie players
Category:SC Heerenveen players
Category:Go Ahead Eagles players
Category:SC Cambuur players
Category:Netherlands youth international footballers",1,Doke Schmidt (born 7 April 1992) is a,Doke Schmidt (born 7 April 1992) is a,10,1.4b
69,69,"Anwar Wagdi or Wagdy (,","Anwar Wagdi or Wagdy (, ) is a village in the Wagdi District of the Indian state of West Bengal. The village is situated on the banks of the River Wagdi, which flows into the Wagdi River. The village is situated on the banks of the River Wagdi, which flows into the Wagdi River. The village is situated on the banks of the River Wagdi, which flows into the Wagdi River. The village is","Anwar Wagdi or Wagdy (, ; 11 October 1904 – 14 May 1955), born Mohamed Anwar Yehia Al Fattal Wagdi (), was an Egyptian actor, screenwriter, director and producer.

Life
Anwar was born in the Cairo district of El Daher, Cairo. He was of Syrian descent.  His father, Yehia Wagdy El-Fattal, immigrated to Egypt from Syria with his family in the 19th century for economic reasons.  Anwar's Egyptian mother, Muhiba El-Rikaby, was from Cairo.. Anwar Wagdy was married to Egyptian actresses Elham Hussein, Leila Mourad (three times), and Laila Fawzi. He died at 50 in Sweden while seeking treatment for polycystic kidney disease.

Career
Anwar Wagdy began his acting career as an extra in 1922 in the Youssef Wahbi Theatre Company's production of Julius Caesar. He quickly leaped to stardom and played leading roles in and/or directed 92  Egyptian films between the 1932 and 1955.  He achieved particular success partnering with his wife, Egyptian legend Leila Mourad.

Youssef Wahbi directed his first film: ""Defense"" in 1934 and called ""Anwar Wagdy"" to take part in this film with him. After the failure of a film caused some financial problems for Youssef Wahbi and producer, which resulted in Anwar to join the National Force Theater, which was founded in 1935. Anwar Wagdi found that cinema is more suited to his talent and more in tune with its aspirations because of its popularity and its ability to reach a wider audience.

Throughout that period, he made ""Wings of the Desert"", in 1939. Anwar Wagdy became a star, as directors of the exploitation of its looks handsome and soft features in the provision of the roles of the rich aristocrat indifferent to any symbol of evil. And grandfather established his production company ""films Nations"", and produced, directed and acted in a number of films together with his wife Laila Murad, whom he married while filming the first: ""The following are the poor girl.""

Filmography
Actor
Agnihat el sahara (1939)
El warsha (1941)
Intissar el ch",0,"Anwar Wagdi or Wagdy (,","Anwar Wagdi or Wagdy (,",10,1.4b
70,70,"Lieutenant-General Sir George Sidney Clive,","Lieutenant-General Sir George Sidney Clive, the commander of the Royal Navy, and the commander of the Royal Navy, the Hon. Sir George Sidney Clive, the commander of the Royal Navy, and the commander of the Royal Navy, the Hon. Sir George Sidney Clive, the commander of the Royal Navy, and the commander of the Royal Navy, the Hon. Sir George Sidney Clive, the commander of the Royal Navy, and the commander of the Royal Navy, the Hon.","Lieutenant-General Sir George Sidney Clive,  (16 July 1874 – 7 October 1959) was a British Army officer who subsequently became Military Secretary.

Background and education
Clive was the son of General Edward Clive and Isabel Webb and he was educated at Harrow School and the Royal Military College, Sandhurst,

Military career
Clive was commissioned into the Grenadier Guards in 1893, and promoted to lieutenant on 26 October 1897. He took part in the military expedition to the Sudan in 1898, and was promoted to captain on 28 January 1900, during a temporary appointment as Adjutant of the 3rd battalion (19 January - 24 March 1900). He fought in the Second Boer War between 1900 and 1902; he was part of a detachment sent to South Africa in March 1900 to reinforce the 3rd battalion. For his service in the war he was awarded the Distinguished Service Order (DSO). He attended Staff College, Camberley in 1903 and became a General Staff Officer at the War Office in 1905.

He served in the First World War as Head of the British Mission at the French Army headquarters from 1915 to the end of the War and was invested as a Companion of the Order of the Bath. Clive also received several decorations from France, Belgium and Russia.

After the War, in 1919, Clive was appointed Military Governor of Cologne and from 1919 to 1920, he was Commander of the 1st Infantry Brigade at Aldershot (as a temporary Brigadier). He was appointed British Military Representative to the Armaments Commission of the League of Nations in Geneva in 1921 and became Military attaché in Paris in 1924, rising to Major-General in the same year. He was appointed Director of Personal Services at the War Office in 1928 and Military Secretary in 1930. He was invested as a Knight Commander of the Order of the Bath (KCB) in 1933.

Clive retired from the army in 1934, as a Lieutenant General, and served as Marshal of the Diplomatic Corps between 1934 and 1946 and as High Sheriff of Herefordshire in 1939",0,"Lieutenant-General Sir George Sidney Clive,","Lieutenant-General Sir George Sidney Clive,",10,1.4b
71,71,HMS Inglefield was an  leader built,"HMS Inglefield was an  leader built by the  F.C.I. in 1869.

Inglefield was a  member of the  F.C.I. in 1869.

Inglefield was a  member of the  F.C.I. in 1869.

Inglefield was a  member of the  F.C.I. in 1869.

Inglefield was a  member of the","HMS Inglefield was an  leader built for the Royal Navy that served during World War II. She was the navy's last purpose-built flotilla leader. She was named after the 19th century Admiral Sir Edward Augustus Inglefield (1820–1894), and is so far the only warship to carry the name of that seafaring family. In May 1940, her pennant number was changed to I02.

Description
The I-class ships were improved versions of the preceding H-class. Inglefield displaced  at standard load and  at deep load. The ship had an overall length of , a beam of  and a draught of . She was powered by two Parsons geared steam turbines, each driving one propeller shaft, using steam provided by three Admiralty three-drum boilers. The turbines developed a total of  and were intended to give a maximum speed of . Inglefield reached a speed of  from  during her sea trials. The ship carried enough fuel oil to give her a range of  at . Her crew numbered 175 officers and ratings.

The ship mounted five 4.7-inch (120 mm) Mark IX guns in single mounts, designated 'A', 'B', 'X' and 'Y' from bow to stern. For anti-aircraft (AA) defence, Inglefield was fitted with two quadruple mounts for the 0.5 inch Vickers Mark III machine gun. The I class was fitted with two above-water quintuple torpedo tube mounts amidships for  torpedoes. One depth charge rack and two throwers were fitted; 16 depth charges were originally carried, but this increased to 35 shortly after the war began. The I-class ships were fitted with the ASDIC sound detection system to locate submarines underwater.

Anti-submarine Action
On the outbreak of war, Inglefield was deployed as the leader of the 3rd Destroyer Flotilla, Mediterranean Fleet, and was based at Malta.  However, she was transferred to the Home Fleet before the end of September 1939 to patrol the Western Approaches.  In this rôle, she escorted HM aircraft carrier , but was answering a distress signal from SS Kafirstan when Courageous was attacked and sunk. ",0,HMS Inglefield was an  leader built,HMS Inglefield was an  leader built,10,1.4b
72,72,Young Nationals or Young Nats may refer to,"Young Nationals or Young Nats may refer to:

""The Greatest Generation"" (song by the Nats)
""The Greatest Generation"" (song by the Nats)
""The Greatest Generation"" (song by the Nats)
""The Greatest Generation"" (song by the Nats)
""The Greatest Generation"" (song by the Nats)
""The Greatest Generation"" (song by the Nats)
""The Great","Young Nationals or Young Nats may refer to:

 the youth wing of a National Party
 Young Nationals (Australia), the youth wing of the National Party of Australia
 New Zealand Young Nationals, the youth wing of the New Zealand National Party
 Young Nationalists Organisation, the youth wing of the Nationalist Party of Australia

See also
 Nat Young (disambiguation)
 NATS (disambiguation)
 NAT (disambiguation)
 Young (disambiguation)
 National (disambiguation)
 Nationals (disambiguation)",1,Young Nationals or Young Nats may refer to:,Young Nationals or Young Nats may refer to:,10,1.4b
73,73,Grand Gaube is a town located in the Riv,"Grand Gaube is a town located in the Riviera, in the South Atlantic Ocean. The town is located in the south of the Atlantic Ocean, about 30 miles (40 kilometers) north of the Atlantic Ocean. The town is located in the south of the Atlantic Ocean, about 30 miles (40 kilometers) north of the Atlantic Ocean. The town is located in the south of the Atlantic Ocean, about 30 miles (40 kilometers) north of the Atlantic Ocean. The town is located in the south","Grand Gaube is a town located in the Rivière du Rempart District, northern Mauritius. It lies on the coast of the Indian Ocean. In the 60's and 70's its population consisted exclusively of Mauritian Creoles and Indo-Mauritians, with the exception of a handful of Franco-Mauritians and three Chinese families. The town has two harbors, one is by the St Michel R C A School and the other is in Melville, another ward of the town. 

Category:Populated places in Mauritius
Category:Beaches of Mauritius",0,Grand Gaube is a town located in the Riv,Grand Gaube is a town located in the Riv,10,1.4b
74,74,Piazzi Smyth is a small lunar,"Piazzi Smyth is a small lunar crater located in the constellation Piazzi. The crater is located in the constellation Piazzi Smyth, which is a small, faint, and faint-looking crater. The crater is located in the constellation Piazzi Smyth, which is a small, faint, and faint-looking crater. The crater is located in the constellation Piazzi Smyth, which is a small, faint, and faint","Piazzi Smyth is a small lunar impact crater in the eastern part of the Mare Imbrium. It was named after Scottish astronomer Charles Piazzi Smyth. This is an isolated feature located about 100 kilometers to the southwest of the Montes Alpes mountain range. To the southeast of this crater is Mons Piton, an isolated mountain that rises to a height of 2.3 km and occupies a diameter of about 25 km.

This crater is a nicely circular feature with a rim and interior that have not been significantly modified by impacts. The inner walls slope smoothly downwards to the small floor about the midpoint, which occupies a diameter of only one-fifth the total diameter of the crater. This formation has no other notable features, and its albedo matches the surrounding lava plain.

Satellite craters

By convention these features are identified on lunar maps by placing the letter on the side of the crater midpoint that is closest to Piazzi Smyth.

References

 
 
 
 
 
 
 
 
 
 
 

Category:Impact craters on the Moon",0,Piazzi Smyth is a small lunar,Piazzi Smyth is a small lunar,10,1.4b
